Country,Defence budget per capita 2014,Defence budget per capita 2015,Defence budget per capita 2016,Defence budget % GDP 2014,Defence budget % GDP 2015,Defence budget % GDP 2016,Active Armed Forces 2016
Canada,437.062423500612,380.97919216646267,359.7062423500612,0.88,0.89,0.86,63000
United States,1829.4736842105265,1773.3904528763771,1804.3329253365973,3.47,3.27,3.26,1347000
Albania,44.47980416156671,32.87637698898409,37.71113831089352,1.04,0.9,0.96,8000
Belgium,427.3929008567932,342.30110159118726,329.7307221542228,0.93,0.88,0.83,30000
Bulgaria,95.72827417380661,76.38922888616891,92.82741738066096,1.26,1.16,1.35,31000
Croatia,166.31578947368422,144.07588739290085,132.47246022031825,1.31,1.32,1.19,16000
Czechia,184.68788249694003,161.48102815177478,178.8861689106487,0.97,0.96,1.02,22000
Denmark,774.5287637698899,609.1799265605875,613.0477356181151,1.29,1.19,1.17,17000
Estonia,389.68176254589963,357.7723378212974,387.74785801713585,1.93,2.06,2.15,6000
Finland,647.858017135863,542.4602203182375,577.2705018359853,1.34,1.32,1.37,22000
France,760.0244798041616,677.8335373317013,682.6682986536108,1.83,1.93,1.9,203000
Germany,514.4186046511628,438.0293757649939,458.3353733170135,1.11,1.09,1.1,177000
Greece,510.55079559363526,424.4920440636475,416.75642594859244,2.41,2.42,2.37,143000
Hungary,98.62913096695226,104.43084455324357,97.66217870257039,0.73,0.89,0.85,27000
Iceland,87.99265605875154,87.99265605875154,88.95960832313342,0.17,0.18,0.16,0
Italy,383.88004895960836,336.499388004896,348.1028151774786,1.14,1.18,1.2,175000
Latvia,142.14198286413708,138.27417380660955,203.05997552019585,0.95,1.05,1.48,5000
Lithuania,143.10893512851897,158.58017135862914,218.531211750306,0.89,1.15,1.51,17000
Luxembourg,434.16156670746636,362.6070991432069,365.5079559363525,0.39,0.37,0.36,1000
North Macedonia,59.95104039167687,48.34761321909425,51.248470012239906,1.15,1.05,1.05,8000
Montenegro,117.96817625458996,102.49694002447981,104.43084455324357,1.72,1.71,1.64,2000
Netherlands,611.1138310893513,506.6829865361077,522.1542227662179,1.21,1.18,1.19,35000
Norway,1272.5091799265606,1080.0856793145656,1096.5238678090575,1.35,1.5,1.59,25000
Poland,254.30844553243574,254.30844553243574,228.20073439412485,1.87,2.14,1.94,99000
Portugal,231.10159118727051,193.390452876377,194.35740514075889,1.12,1.09,1.06,30000
Romania,123.76988984088128,111.19951040391678,124.73684210526316,1.4,1.4,1.49,71000
Slovakia,185.65483476132192,156.64626682986537,175.01835985312118,1.04,1.02,1.09,16000
Slovenia,259.1432068543452,216.59730722154222,219.4981640146879,1.08,1.04,1.02,7000
Spain,256.24235006119955,262.0440636474908,243.671970624235,0.91,1.09,0.98,123000
Sweden,626.5850673194615,564.7001223990209,570.5018359853121,1.1,1.16,1.13,30000
Türkiye,122.80293757649939,102.49694002447981,105.39779681762546,1.25,1.17,1.19,355000
United Kingdom,934.0758873929009,880.8935128518972,788.0660954712363,2.05,2.04,1.98,152000
China,92.82741738066096,100.56303549571604,101.52998776009792,1.24,1.27,1.27,2183000
Russia,438.0293757649939,352.937576499388,317.1603427172583,3.17,3.92,3.68,831000
