Country,Defence budget per capita 2017,Defence budget per capita 2018,Defence budget per capita 2019,Defence budget % GDP 2017,Defence budget % GDP 2018,Defence budget % GDP 2019,Active Armed Forces 2019
Canada,478.9451313755796,488.10278207109735,474.3663060278207,1.13,1.12,1.08,67
United States,1678.597372488408,1755.5216383307572,1889.2233384853168,3.07,3.07,3.19,1380
Albania,32.96754250386399,39.377897990726424,42.12519319938176,0.86,0.88,0.92,8
Belgium,359.8956723338485,383.7055641421947,380.04250386398763,0.91,0.91,0.93,26
Bulgaria,86.99768160741885,124.54404945904173,271.0664605873261,1.17,1.47,3.13,37
Croatia,146.52241112828438,206.96290571870168,226.193972179289,1.25,1.59,1.73,15
Czechia,193.22642967542504,232.60432766615145,251.83539412673878,1.04,1.11,1.19,23
Denmark,617.2256568778979,718.8755795981452,719.791344667697,1.15,1.29,1.32,15
Estonia,397.4420401854714,474.3663060278207,510.9969088098918,2.06,2.12,2.22,7
Finland,591.5842349304482,620.888717156105,659.3508500772797,1.41,1.37,1.48,22
France,664.8454404945904,722.5386398763524,707.886398763524,1.88,1.91,1.93,204
Germany,475.28207109737247,518.323029366306,553.1221020092736,1.14,1.15,1.26,181
Greece,402.0208655332303,413.0100463678516,412.09428129829985,2.32,2.23,2.26,143
Hungary,136.44899536321483,160.25888717156104,185.9003091190108,1.05,1.07,1.17,28
Iceland,148.35394126738794,105.3129829984544,145.6066460587326,0.22,0.15,0.23,0
Italy,392.8632148377125,422.16769706336936,398.35780525502315,1.37,1.38,1.36,166
Latvia,250.0038639876352,345.2434312210201,342.49613601236473,1.77,2.1,2.03,7
Lithuania,264.65610510046366,346.15919629057186,352.5695517774343,1.74,2.0,1.98,21
Luxembourg,431.3253477588872,608.983771251932,510.08114374034,0.45,0.58,0.49,1
North Macedonia,49.45131375579598,54.030139103554866,65.0193199381762,1.04,0.98,1.2,8
Montenegro,107.14451313755795,118.13369397217929,110.80757341576506,1.57,1.45,1.37,2
Netherlands,542.1329211746522,600.741885625966,643.7828438948995,1.21,1.23,1.34,35
Norway,1066.8663060278207,1152.032457496136,1135.548686244204,1.56,1.56,1.61,23
Poland,237.18315301391036,283.887171561051,271.98222565687786,1.9,2.03,2.01,124
Portugal,213.37326120556412,227.1097372488408,238.0989180834621,1.14,1.07,1.13,27
Romania,154.76429675425038,185.9003091190108,212.45749613601237,1.73,1.82,2.04,70
Slovakia,187.73183925811438,218.8678516228748,314.10741885625964,1.17,1.22,1.75,16
Slovenia,220.69938176197834,259.161514683153,274.72952086553323,0.98,1.1,1.16,7
Spain,250.0038639876352,279.3083462132921,238.0989180834621,1.01,1.05,0.92,120
Sweden,545.7959814528593,565.0270479134466,577.8477588871715,1.1,1.11,1.21,15
Türkiye,89.74497681607419,94.32380216383307,90.66074188562597,0.92,1.09,1.09,355
United Kingdom,739.9381761978361,787.5579598145285,766.4953632148377,1.98,1.98,2.0,148
Russia,293.96058732612056,291.2132921174652,311.3601236476043,2.89,2.72,2.94,900
China,101.64992272024729,111.72333848531684,119.04945904173105,1.28,1.28,1.28,2035
