Country,Defence budget per capita 2022,Defence budget per capita 2023,Defence budget per capita 2024,Defence budget % GDP 2022,Defence budget % GDP 2023,Defence budget % GDP 2024,Active Armed Forces 2024
Canada,464.734719205709,459.58734098665843,511.7964629227428,1.12,1.12,1.22,62000
United States,1828.7899472541112,1991.3000310269936,2081.7468197331677,3.23,3.32,3.32,1316000
Albania,68.38659633881477,94.12348743406764,115.44834005584859,1.51,1.74,1.87,8000
Belgium,422.82035370772576,455.91064225876517,519.885200124108,1.17,1.17,1.28,24000
Bulgaria,143.39125038783743,143.39125038783743,254.4275519702141,1.48,1.31,2.17,37000
Croatia,228.69066087496122,197.07105181507913,221.3372634191747,1.81,1.35,1.39,17000
Czechia,262.5162891715793,341.9329816940739,444.88054607508536,1.26,1.47,1.91,27000
Denmark,626.5094632330128,661.0704312752094,675.0418864412038,1.25,1.31,1.33,13000
Estonia,492.6776295376978,755.9292584548557,1050.065156686317,2.11,2.99,3.96,7000
Finland,754.4585789636984,919.1746819733169,900.7911883338505,2.05,2.37,2.25,24000
France,583.8597579894508,641.9515978901644,689.0133416071983,1.94,1.95,2.02,202000
Germany,478.7061743717034,585.3304374806081,751.5172199813838,1.32,1.48,1.83,180000
Greece,547.8281104560969,511.7964629227428,545.6220912193609,3.6,3.07,3.07,132000
Hungary,366.1991932981694,328.6968662736581,422.82035370772576,2.72,2.08,2.48,32000
Iceland,84.56407074154515,82.35805150480918,98.53552590753957,0.14,0.13,0.15,0
Italy,373.55259075395594,391.9360843934223,425.0263729444617,1.47,1.41,1.48,162000
Latvia,341.9329816940739,422.08501396214706,586.0657772261868,2.12,2.4,3.15,7000
Lithuania,433.11511014582686,560.3288861309339,698.5727582997208,2.22,2.6,3.02,16000
Luxembourg,500.766366739063,652.9816940738442,757.3999379460131,0.54,0.68,0.76,1000
North Macedonia,78.68135277691592,94.12348743406764,122.80173751163512,1.66,1.85,2.25,8000
Montenegro,85.2994104871238,163.24542351846105,123.53707725721378,1.12,1.8,1.24,3000
Netherlands,641.9515978901644,692.6900403350916,976.5311821284517,1.45,1.44,1.94,34000
Norway,982.413900093081,964.0304064536147,1305.9633881476884,1.25,1.48,1.94,25000
Poland,250.01551349674216,436.0564691281415,531.6506360533665,1.88,2.86,3.25,164000
Portugal,185.30561588582066,200.7477505429724,223.54328265591064,1.01,0.97,1.02,22000
Romania,224.27862240148932,339.7269624573379,372.8172510083773,1.88,2.41,2.42,70000
Slovakia,271.34036611852315,350.7570586410177,376.49394973627057,1.73,2.0,2.0,13000
Slovenia,308.10735339745577,355.90443686006824,406.64287930499535,1.47,1.47,1.58,6000
Spain,233.10269934843313,300.75395594166923,302.2246354328266,1.03,1.19,1.12,122000
Sweden,563.2702451132485,641.9515978901644,850.7880856345021,1.38,1.57,2.01,15000
Türkiye,55.15048091839901,77.21067328575862,125.00775674837108,0.69,0.78,1.06,355000
United Kingdom,793.4315854793671,809.6090598820974,870.6422587651257,2.34,2.22,2.26,141000
Russia,386.7887061743717,388.99472541110765,627.98014272417,3.29,3.72,5.51,1134000
China,113.24232081911263,115.44834005584859,122.06639776605647,1.23,1.26,1.29,2035000
