Country,Defence budget per capita 2016,Defence budget per capita 2017,Defence budget per capita 2018,Defence budget % GDP 2016,Defence budget % GDP 2017,Defence budget % GDP 2018,Active Armed Forces 2018
Canada,412.45600312866645,482.8979272585061,470.84865076261246,1.02,1.12,1.05,67
United States,1697.0942510754792,1698.9479859210012,1811.0989440750882,3.17,3.07,3.14,1359
Albania,36.14782948768088,34.29409464215878,39.85529917872507,0.99,0.86,0.87,8
Belgium,313.2811888932343,364.2588971450919,399.47985921001174,0.83,0.91,0.93,27
Bulgaria,87.12553773953853,88.05240516229958,95.46734454438796,1.26,1.19,1.14,31
Croatia,126.9808369182636,141.81071568244036,164.98240125146657,1.14,1.2,1.26,15
Czechia,169.6167383652718,195.56902620258117,238.20492764958937,1.0,1.04,1.12,23
Denmark,582.0727414939382,624.7086429409464,677.5400860383262,1.15,1.16,1.2,15
Estonia,367.0394994133751,402.2604614782949,477.3367227219398,2.14,2.09,2.17,6
Finland,522.7532264372312,536.6562377786469,570.0234649980446,1.3,1.26,1.23,22
France,648.8071959327337,672.9057489245209,734.0789988267502,1.9,1.88,1.91,204
Germany,435.62768869769263,480.1173249902229,526.4606961282753,1.09,1.13,1.13,180
Greece,395.77238951896754,406.89479859210013,421.7246773562769,2.39,2.36,2.25,142
Hungary,99.17481423543215,121.41963238169731,154.78685960109505,0.84,0.93,1.05,28
Iceland,126.05396949550256,150.15252248728981,110.29722330856472,0.22,0.22,0.15,0
Italy,330.8916699256942,341.0872115760657,370.7469691044193,1.19,1.18,1.19,171
Latvia,191.86155651153697,253.03480641376615,329.0379350801721,1.48,1.75,1.99,6
Lithuania,206.69143527571373,267.86468517794293,350.3558858036762,1.49,1.73,2.02,20
Luxembourg,326.25733281188894,436.5545561204537,619.1474384043802,0.35,0.45,0.59,1
North Macedonia,46.34337113805241,50.0508408290966,54.685177942901845,0.99,1.01,1.01,8
Montenegro,98.2479468126711,108.44348846304264,119.56589753617521,1.56,1.57,1.47,2
Netherlands,496.80093859992184,548.7055142745405,610.8056315995308,1.16,1.22,1.24,35
Norway,1056.628861947595,1079.800547516621,1172.487289792726,1.62,1.55,1.54,23
Poland,218.74071177160738,240.05866249511146,260.44974579585454,1.93,1.9,1.97,118
Portugal,208.54517012123583,215.96010950332422,230.789988267501,1.19,1.16,1.09,27
Romania,118.63903011341417,156.64059444661714,200.2033633163864,1.46,1.72,1.93,69
Slovakia,165.90926867422763,190.00782166601488,218.74071177160738,1.09,1.16,1.2,16
Slovenia,208.54517012123583,222.44818146265155,234.4974579585452,1.0,0.97,0.97,7
Spain,190.00782166601488,253.03480641376615,283.6214313648807,0.81,1.02,1.05,120
Sweden,538.509972624169,552.4129839655847,574.6578021118498,1.12,1.11,1.12,30
Türkiye,100.1016816581932,90.83300743058273,89.90614000782168,1.0,0.93,1.11,355
United Kingdom,761.8850215095816,748.9088775909269,798.9597184200235,1.98,1.99,2.0,148
Russia,289.18263590144704,297.52444270629644,295.67070786077437,3.46,2.9,2.88,900
China,96.394211967149,101.02854908095425,112.15095815408682,1.28,1.26,1.25,2035
