Country,Defence budget per capita 2018,Defence budget per capita 2019,Defence budget per capita 2020,Defence budget % GDP 2018,Defence budget % GDP 2019,Defence budget % GDP 2020,Active Armed Forces 2020
Canada,466.1291512915129,453.0110701107011,465.2546125461255,1.11,1.08,1.25,67
United States,1676.4907749077493,1804.1734317343173,1940.6014760147602,3.06,3.19,3.55,1388
Albania,37.60516605166052,41.103321033210335,53.34686346863469,0.88,0.93,1.33,8
Belgium,366.43173431734317,362.0590405904059,406.6605166051661,0.89,0.91,1.08,26
Bulgaria,118.93726937269373,257.9889298892989,145.17343173431735,1.45,3.05,1.7,37
Croatia,197.64575645756457,216.01107011070113,231.75276752767527,1.58,1.73,1.98,15
Czechia,222.1328413284133,237.87453874538747,267.6088560885609,1.09,1.16,1.35,25
Denmark,686.5129151291513,682.140221402214,731.1143911439115,1.28,1.31,1.45,15
Estonia,453.0110701107011,487.1180811808118,509.8560885608856,2.13,2.21,2.37,7
Finland,593.8118081180812,617.4243542435424,644.5350553505535,1.36,1.46,1.53,24
France,690.0110701107011,674.269372693727,709.2509225092251,1.91,1.92,2.16,203
Germany,494.9889298892989,527.3468634686348,560.5793357933579,1.15,1.25,1.36,184
Greece,394.4169741697417,390.9188191881919,411.03321033210335,2.23,2.29,2.56,143
Hungary,147.79704797047972,162.66420664206643,182.77859778597787,1.05,1.13,1.36,28
Iceland,100.5719557195572,139.05166051660518,129.43173431734317,0.15,0.23,0.25,0
Italy,403.1623616236163,379.549815498155,411.03321033210335,1.38,1.35,1.59,166
Latvia,329.7011070110701,326.2029520295203,352.4391143911439,2.13,2.1,2.31,6
Lithuania,330.57564575645756,335.8228782287823,372.55350553505536,1.99,1.97,2.12,22
Luxembourg,581.5682656826568,482.74538745387457,543.0885608856089,0.57,0.48,0.57,0
North Macedonia,51.59778597785978,62.09225092250923,77.8339483394834,0.99,1.23,1.51,8
Montenegro,112.81549815498155,104.94464944649447,105.81918819188192,1.44,1.43,1.5,2
Netherlands,573.6974169741698,612.1771217712177,638.4132841328413,1.23,1.33,1.42,34
Norway,1100.169741697417,1079.180811808118,1038.9520295202954,1.56,1.66,1.77,23
Poland,271.10701107011073,269.3579335793358,293.8450184501845,2.03,2.0,2.22,114
Portugal,216.88560885608857,226.50553505535055,242.24723247232473,1.07,1.12,1.29,27
Romania,177.53136531365314,202.01845018450186,213.38745387453875,1.8,1.98,2.09,69
Slovakia,209.0147601476015,299.0922509225092,341.070110701107,1.23,1.77,2.08,16
Slovenia,247.49446494464945,261.4870848708487,251.86715867158674,1.1,1.17,1.17,7
Spain,266.7343173431734,226.50553505535055,227.38007380073802,1.06,0.92,1.04,123
Sweden,539.590405904059,550.959409594096,604.3062730627306,1.11,1.2,1.33,15
Türkiye,138.1771217712177,129.43173431734317,118.06273062730628,1.65,1.59,1.7,355
United Kingdom,791.4575645756457,791.4575645756457,818.5682656826568,2.06,2.09,2.33,149
Russia,277.22878228782287,285.97416974169744,266.7343173431734,2.7,2.72,2.95,900
China,106.69372693726937,113.69003690036901,121.5608856088561,1.23,1.23,1.27,2035
