Country,Defence budget per capita 2019,Defence budget per capita 2020,Defence budget per capita 2021,Defence budget % GDP 2019,Defence budget % GDP 2020,Defence budget % GDP 2021,Active Armed Forces 2021
Canada,419.4260334813803,432.3812777587974,495.538093611206,1.08,1.23,1.15,67
United States,1819.402118209771,1884.9880423641955,1822.6409292791254,3.49,3.71,3.29,1395
Albania,51.820977109668604,58.29859924837718,64.77622138708576,1.29,1.5,1.47,8
Belgium,335.21694567816877,367.60505637171167,439.66860266484457,0.9,1.03,1.1,24
Bulgaria,238.86231636487872,144.93679535360437,149.7950119576358,3.03,1.81,1.65,37
Croatia,199.99658353262726,191.08985309190297,206.47420567133585,1.72,1.77,1.69,17
Czechia,220.23915271609155,246.14964127092588,300.3997266826102,1.15,1.33,1.43,27
Denmark,631.5681585240861,678.5309190297232,744.1168431841476,1.31,1.38,1.37,15
Estonia,451.0044414075846,472.0567133583874,521.4485821660403,2.24,2.36,2.19,7
Finland,571.6501537410318,603.2285616672361,863.9528527502563,1.46,1.54,2.01,19
France,624.280833618039,655.0495387769047,706.0608131192347,1.91,2.09,2.02,203
Germany,488.25076870515886,526.3067987700717,567.601639904339,1.24,1.36,1.33,183
Greece,361.93713700034164,379.7505978817902,591.8927229244961,2.34,2.63,3.65,143
Hungary,150.60471472497437,165.98906730440726,219.429449948753,1.12,1.29,1.45,34
Iceland,128.74274000683295,120.64571233344722,100.40314314998292,0.22,0.24,0.17,0
Italy,351.4110010249402,385.41851725316025,438.858899897506,1.35,1.58,1.59,162
Latvia,302.01913221728734,325.50051247010595,362.7468397676802,2.11,2.28,2.26,9
Lithuania,310.9258626580116,344.12367611889306,374.08267851042024,1.96,2.09,2.01,23
Luxembourg,446.95592757089173,502.0157157499146,526.3067987700717,0.48,0.53,0.5,0
North Macedonia,57.48889648103861,71.25384352579434,79.35087119918005,1.25,1.57,1.51,8
Montenegro,97.16433208062864,97.9740348479672,115.78749572941578,1.42,1.65,1.58,2
Netherlands,566.7919371370003,590.273317389819,689.0570550051248,1.32,1.38,1.47,34
Norway,999.1732148957977,958.6880765288691,1095.5278442090878,1.65,1.79,1.67,25
Poland,249.38845234028017,270.44072429108303,284.20567133583876,1.98,2.14,2.05,114
Portugal,209.71301674069014,224.28766655278443,233.19439699350872,1.11,1.25,1.18,27
Romania,187.04133925521012,196.75777246327297,213.76153057738298,1.98,2.09,1.95,71
Slovakia,278.5377519644687,274.4892381277759,299.5900239152716,1.78,1.77,1.72,18
Slovenia,242.101127434233,233.19439699350872,258.2951827810044,1.16,1.13,1.1,7
Spain,205.66450290399726,205.66450290399726,235.62350529552444,0.91,0.99,0.96,123
Sweden,510.11274342330034,558.6949094636146,659.9077553809361,1.19,1.3,1.34,15
Türkiye,119.83600956610864,107.69046805603007,99.59344038264435,1.59,1.51,1.28,355
United Kingdom,735.2101127434233,757.0720874615647,877.717799795012,2.1,2.27,2.3,153
Russia,264.772804919713,250.19815510761873,260.72429108302015,2.74,2.96,2.78,900
China,102.83225145199863,109.30987359070721,119.83600956610864,1.23,1.27,1.23,2035
