Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces
France,760.0244798041616,2014,1.83,
France,661.6367980884111,2015,1.92,209.0
France,648.8071959327337,2016,1.9,203.0
France,664.8454404945904,2017,1.88,203.0
France,690.0110701107011,2018,1.91,204.0
France,624.280833618039,2019,1.91,204.0
France,630.029537249754,2020,2.08,203.0
France,652.7510360216768,2021,1.99,203.0
France,583.8597579894508,2022,1.94,203.0
France,641.9515978901644,2023,1.95,204.0
France,689.0133416071983,2024,2.02,202.0
Germany,537.2,2013,1.18,
Germany,514.4186046511628,2014,1.11,
Germany,427.56272401433694,2015,1.08,179.0
Germany,435.62768869769263,2016,1.09,177.0
Germany,475.28207109737247,2017,1.14,179.0
Germany,494.9889298892989,2018,1.15,180.0
Germany,488.25076870515886,2019,1.24,181.0
Germany,505.5792582868396,2020,1.34,184.0
Germany,525.0717245776219,2021,1.3,183.0
Germany,478.7061743717034,2022,1.32,183.0
Germany,585.3304374806081,2023,1.48,181.0
Germany,751.5172199813838,2024,1.83,180.0
Greece,541.15,2013,2.43,
Greece,510.55079559363526,2014,2.41,
Greece,414.3488649940263,2015,2.43,143.0
Greece,395.77238951896754,2016,2.39,143.0
Greece,402.0208655332303,2017,2.32,141.0
Greece,394.4169741697417,2018,2.23,142.0
Greece,361.9371370003416,2019,2.34,143.0
Greece,364.7948802100427,2020,2.64,143.0
Greece,549.247688874721,2021,3.58,143.0
Greece,547.8281104560969,2022,3.6,132.0
Greece,511.7964629227428,2023,3.07,132.0
Greece,545.6220912193609,2024,3.07,132.0
Hungary,107.6375,2013,0.81,
Hungary,98.62913096695226,2014,0.73,
Hungary,101.93548387096774,2015,0.88,27.0
Hungary,99.17481423543217,2016,0.84,27.0
Hungary,136.44899536321483,2017,1.05,28.0
Hungary,147.79704797047972,2018,1.05,28.0
Hungary,150.60471472497437,2019,1.12,28.0
Hungary,173.4525763045619,2020,1.39,28.0
Hungary,183.5862288810966,2021,1.3,34.0
Hungary,366.1991932981694,2022,2.72,32.0
Hungary,328.6968662736581,2023,2.08,32.0
Hungary,422.82035370772576,2024,2.48,32.0
Iceland,115.5375,2013,0.25,
Iceland,87.99265605875154,2014,0.17,
Iceland,85.89008363201913,2015,0.18,0.0
Iceland,126.05396949550256,2016,0.22,0.0
Iceland,148.35394126738794,2017,0.22,0.0
Iceland,100.5719557195572,2018,0.15,0.0
Iceland,128.74274000683295,2019,0.22,0.0
Iceland,115.89432228421398,2020,0.24,0.0
Iceland,92.92636276697482,2021,0.17,0.0
Iceland,84.56407074154515,2022,0.14,0.0
Iceland,82.35805150480918,2023,0.13,0.0
Iceland,98.53552590753957,2024,0.15,0.0
Italy,404.875,2013,1.18,
Italy,383.8800489596084,2014,1.14,
Italy,328.4587813620072,2015,1.18,175.0
Italy,330.8916699256942,2016,1.19,175.0
Italy,392.8632148377125,2017,1.37,175.0
Italy,403.1623616236163,2018,1.38,171.0
Italy,351.4110010249402,2019,1.35,166.0
Italy,370.23957991467023,2020,1.57,166.0
Italy,405.7029008606949,2021,1.58,162.0
Italy,373.552590753956,2022,1.47,161.0
Italy,391.9360843934223,2023,1.41,161.0
Italy,425.0263729444617,2024,1.48,162.0
Latvia,103.6875,2013,0.69,
Latvia,142.14198286413708,2014,0.95,
Latvia,134.026284348865,2015,1.05,5.0
Latvia,191.86155651153695,2016,1.48,5.0
