Country,Year,log_Active Armed Forces per capita,Unemployment rate,Secondary education attainment rate,log_GDP per capita,log_Defence budget per capita,Defence budget % GDP,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Education Interpolated
Albania,2015,-5.886348098885498,17.193,48.1863632202148,8.282180371611311,3.4387164364380722,0.89,2.516827054171711,-29.975066230325698,-14.423076923076927,False
Albania,2016,-5.88474929476422,15.418,46.9845199584961,8.316391376496313,3.587616904967637,0.99,3.4802932167141476,16.05574714686955,11.23595505617978,False
Albania,2017,-5.883829571826778,13.616,46.3533401489258,8.354631919704046,3.4955235169644956,0.86,3.898112267466991,-8.798002615622401,-13.131313131313128,False
Albania,2018,-5.88136225140396,12.304,49.8858070373535,8.396505951529043,3.627141435948993,0.88,4.276311551052192,14.067240672406722,2.3255813953488413,False
Albania,2019,-5.877102177733638,11.466,50.7128944396973,8.421181871693124,3.947795030796963,1.29,2.4982890405851776,37.80281421568239,46.59090909090911,False
Albania,2020,-5.8713601081411975,11.69,51.277702331543,8.393225305430168,4.0253985741595235,1.47,-2.7569397820911834,8.06941253692155,13.953488372093027,True
Albania,2021,-5.862090927524804,11.474,51.8425102233887,8.488392816587819,4.08907087840552,1.36,9.984307568301688,6.574310204370759,-7.482993197278908,False
Albania,2022,-5.84993302432355,10.137,53.2684860229492,8.547688932755715,4.225176845466995,1.51,6.108939995096163,14.580330457117952,11.029411764705866,False
Albania,2023,-5.838448847946422,10.108,53.2684860229492,8.597784264018433,4.544607616233356,1.74,5.137132015425383,37.63440860215055,15.231788079470189,True
Belgium,2015,-5.896284649139191,8.482,66.2099990844727,10.618733852262814,5.811505788105366,0.88,0.8878764063265931,-21.823253701811574,-5.376344086021511,False
Belgium,2016,-5.934137471986696,7.83,67.0800018310547,10.625535217879923,5.747101154321009,0.83,0.6824547430432926,-6.23744722032572,-5.681818181818188,False
Belgium,2017,-5.971891303846101,7.09,69.1500015258789,10.636319968363937,5.885814190377647,0.91,1.084311553431161,14.879439013014073,9.63855421686748,False
Belgium,2018,-6.047902114780996,5.941,70.8456954956055,10.65037364591854,5.903812240177568,0.89,1.4152894724870357,1.816099077021338,-2.197802197802201,False
Belgium,2019,-6.0910470560348235,5.364,71.4499969482422,10.669104319877935,5.814777921262605,0.9,1.8907193419954726,-8.518582239425054,1.1235955056179803,False
Belgium,2020,-6.095357024185821,5.545,72.7141799926758,10.615677803378727,5.866829653184816,1.02,-5.202440098990502,5.343023707487693,13.33333333333333,False
Belgium,2021,-6.17951575182468,6.248,74.2476806640625,10.671739755057544,5.870225794384778,0.93,5.766320571820915,0.3401914621421698,-8.823529411764708,False
Belgium,2022,-6.230157019743495,5.57,75.1261901855469,10.705120836363314,6.04694739311109,1.17,3.394448108754755,19.32988309637489,25.806451612903203,False
Belgium,2023,-6.2392941786476435,5.528,75.1261901855469,10.708422993682452,6.122296830352877,1.17,0.33076154468310026,7.826086956521761,0.0,True
Bulgaria,2015,-5.44478761339047,9.143,74.9100036621094,8.86486820240135,4.298917701661184,1.12,4.0594107867374385,-23.094746750660722,-11.111111111111105,False
Bulgaria,2016,-5.437773792412056,7.575,75.5999984741211,8.901699325521788,4.467350041107994,1.26,3.7517793275211986,18.34481513793209,12.5,False
Bulgaria,2017,-5.430469360659074,6.164,76.4499969482422,8.936092778593217,4.465881470108926,1.17,3.499174730939214,-0.1467493176362411,-7.142857142857151,False
Bulgaria,2018,-5.423248556606845,5.211,76.9173965454102,8.968488657828916,4.778596205991482,1.45,3.292633846490478,36.71314818411342,23.931623931623935,False
Bulgaria,2019,-5.2392787920365915,4.23,77.1142807006836,9.012716078616931,5.475887303777111,3.03,4.522003262445917,100.8305030245785,108.9655172413793,False
Bulgaria,2020,-5.233276376851938,5.125,77.7799987792969,8.986032712076813,4.936118260984223,1.79,-2.6330510939877483,-41.71171421737413,-40.92409240924092,False
Bulgaria,2021,-5.2251279121366485,5.267,78.4247741699219,9.069108807635917,4.934558783547485,1.51,8.662449270055816,-0.15582620836547267,-15.642458100558665,False
Bulgaria,2022,-5.190449806976309,4.268,79.3163833618164,9.143380417829173,4.965576910877486,1.48,7.70993169235028,3.1504202134117643,-1.9867549668874163,False
Bulgaria,2023,-5.160389605897539,4.319,79.3163833618164,9.192132971636886,4.965576910877486,1.31,4.996050986281975,0.0,-11.48648648648648,True
Canada,2015,-6.2933772122024365,6.945,85.3110198974609,10.68267925773026,6.073435364454733,1.04,-0.11236917294930038,-0.6618665482496344,18.181818181818187,False
Canada,2016,-6.35121262524003,7.038,84.4700012207031,10.681695810779633,6.02212954100423,1.02,-0.09829635251621394,-5.001190253524001,-1.9230769230769273,False
Canada,2017,-6.363166982785185,6.426,86.4637603759766,10.699628695733693,6.171586042573309,1.13,1.8094644627930867,16.120295920671012,10.784313725490179,False
Canada,2018,-6.315941351353687,5.837,87.1723480224609,10.712356616786847,6.144462744421275,1.11,1.2809265790424407,-2.6758764719578276,-1.7699115044247593,False
Canada,2019,-6.3305584773475,5.69,87.4373016357422,10.716643988670022,6.038887189696774,1.08,0.4296575810858849,-10.019351435268842,-2.7027027027027084,False
Canada,2020,-6.341402167058823,9.657,88.1384048461914,10.654104466286814,6.029128294103662,1.22,-6.0624064295901725,-0.9711432094103634,12.962962962962955,False
Canada,2021,-6.346941191282691,7.527,86.5199966430664,10.700084801360958,6.134719985110094,1.16,4.70538205187363,11.136800230187237,-4.918032786885251,False
Canada,2022,-6.36506041681713,5.279,89.1743698120117,10.719452732807806,6.141466746460597,1.12,1.9556706589562989,0.6769572015378422,-3.44827586206895,False
Canada,2023,-6.394383156933369,5.415,89.5703811645508,10.702541918105938,6.13032900205014,1.12,-1.676862949238167,-1.1075949367088667,0.0,False
Croatia,2015,-5.498065845455342,16.175,73.8226699829102,9.416158969893626,4.939421148735707,1.31,3.5523422427218954,-16.00955794504181,0.0,False
Croatia,2016,-5.547827007457326,13.103,73.7205963134766,9.46104822524299,4.844036184666115,1.14,4.591202433301977,-9.097707406272127,-12.977099236641232,False
Croatia,2017,-5.531759455411159,11.208,74.7002487182617,9.509398614727163,4.987178393742212,1.25,4.95383381015253,15.38938841819062,9.649122807017552,False
Croatia,2018,-5.583189244098305,8.432,75.858024597168,9.551140298557678,5.286476319527716,1.58,4.262511703557825,34.89114391143913,26.400000000000002,False
Croatia,2019,-5.573266214487612,6.617,76.6451187133789,9.591596792306033,5.298300284065268,1.72,4.1286006266008535,1.189414393304955,8.860759493670889,False
Croatia,2020,-5.564317577047766,7.507,77.9384307861328,9.513770651177214,5.212564260169078,1.74,-7.487474620516165,-8.216351385646469,1.1627906976744207,False
Croatia,2021,-5.430114425202124,7.608,79.1094818115234,9.641763680606108,5.554433763001104,2.09,13.654508030115121,40.75766007683039,20.114942528735625,False
Croatia,2022,-5.424079205680241,6.96,79.9907760620117,9.71814492905028,5.432370264492973,1.81,7.937400538377548,-11.490783531379911,-13.397129186602863,False
Croatia,2023,-5.425127767943542,6.086,79.9907760620117,9.749588192447385,5.2835643328245965,1.35,3.1942825004408038,-13.826366559485493,-25.41436464088398,True
Czechia,2015,-6.172465061254663,5.048,89.7699966430664,9.794319729778334,5.060202687388347,0.95,4.7526240655200835,-14.654681704166583,-2.0618556701030966,False
Czechia,2016,-6.17438554541309,3.952,90.2300033569336,9.817880524173043,5.133541411679412,1.0,2.3840542620698235,7.609497469667614,5.263157894736836,False
Czechia,2017,-6.132590209477747,2.893,90.5800018310547,9.865665899744986,5.263862711984452,1.04,4.894550183522139,13.91943480207094,4.0000000000000036,False
Czechia,2018,-6.135934482100744,2.246,90.5812530517578,9.8902315551262,5.403275587273967,1.09,2.4869877120805794,14.959864290586044,4.807692307692313,False
Czechia,2019,-6.139872370742766,2.015,90.6699981689453,9.921330413777898,5.394714013733289,1.15,3.158748019322122,-0.8525027641104188,5.504587155963292,False
Czechia,2020,-6.058922988625834,2.55,90.9993286132812,9.864390473480421,5.46576015654969,1.32,-5.534919689097595,7.3630765072684845,14.782608695652177,False
Czechia,2021,-5.9638432333894515,2.803,91.4344177246094,9.922008883990838,5.62770596410743,1.4,5.931069674899336,17.579652030938032,6.060606060606055,False
Czechia,2022,-5.979552959061462,2.224,91.1693878173828,9.934373078641217,5.570313134093378,1.26,1.2440947307119643,-5.577692266184631,-9.999999999999998,False
Czechia,2023,-5.997376849766057,2.579,91.1693878173828,9.915695520907308,5.834614757901096,1.47,-1.8504213048580742,30.252100840336137,16.666666666666675,True
Denmark,2015,-5.812106183951445,6.278,77.75,10.879819458138822,6.3879286943571705,1.17,1.3856663444016704,-23.22768582282899,-9.302325581395355,False
Denmark,2016,-5.819910110392797,5.989,78.1800003051758,10.902283261957132,6.366595425306189,1.15,2.271801500738513,-2.1107324431532515,-1.7094017094017144,False
Denmark,2017,-5.886968241246606,5.833,75.21484375,10.925956727643964,6.425234689420693,1.15,2.395590655654223,6.0392650055621555,0.0,False
Denmark,2018,-5.956465151642968,5.131,79.2799987792969,10.939427547374567,6.531625038037839,1.28,1.356196000764065,11.2255959354846,11.304347826086957,False
Denmark,2019,-5.960046460801895,5.018,76.0538482666016,10.952815452675475,6.448205867120929,1.31,1.3477924579688771,-8.003455637062363,2.34375,False
Denmark,2020,-5.962962872576661,5.637,79.3199996948242,10.931937636433158,6.479750555625551,1.38,-2.0661383468241312,3.2047495224390543,5.343511450381677,False
Denmark,2021,-5.9672970174707585,5.043,77.0769271850586,10.998826493140802,6.534165923198457,1.32,6.91766397588236,5.592310729662042,-4.347826086956507,False
Denmark,2022,-5.975172042118158,4.434,76.8023986816406,11.006235796839885,6.440163879143054,1.25,0.7436820507885189,-8.9719098425729,-5.30303030303031,False
Denmark,2023,-5.982583897275359,5.094,76.8023986816406,11.023469571037545,6.493860386785359,1.31,1.7383132452722938,5.5164319248826255,4.800000000000004,True
Estonia,2015,-5.390141933200223,6.412,86.5599975585938,9.782570874036642,5.853005519012119,2.07,1.7714214362213765,-10.624616451879698,7.253886010362698,False
Estonia,2016,-5.3904330554557625,6.882,86.8899993896484,9.812741212857064,5.905469470092471,2.14,3.0630075313659466,5.386457071453776,3.3816425120773097,False
Estonia,2017,-5.391643761770429,5.807,86.9599990844727,9.86634699325441,5.985049112608791,2.06,5.50685914397866,8.283179554431474,-3.738317757009346,False
Estonia,2018,-5.395124153150235,5.412,87.629997253418,9.899195584541095,6.115916562514913,2.13,3.3394062530280877,13.98166884894656,3.398058252427183,False
Estonia,2019,-5.244689017213351,4.514,88.4075698852539,9.932068958877315,6.111477187364575,2.24,3.3419673503879865,-0.4429535690212094,5.164319248826299,False
Estonia,2020,-5.246664609065127,6.956,85.7600021362305,9.90083127733402,6.11691964149396,2.31,-3.075482599248225,0.5457291187317415,3.125,False
Estonia,2021,-5.247724578628229,6.178,85.8408355712891,9.968872349918422,6.16056956657142,2.1,7.040927205109115,4.461659679660279,-9.090909090909093,False
Estonia,2022,-5.261090093743057,5.571,86.4714736938477,9.956110930624291,6.199855064698751,2.11,-1.268033765500698,4.006737855554743,0.4761904761904745,False
Estonia,2023,-5.276864607103791,6.378,86.4714736938477,9.9096396986819,6.627947798328849,2.99,-4.540797806675623,53.432835820895534,41.706161137440766,True
Finland,2015,-5.517732338979625,9.376,74.0199966430664,10.658678246085698,6.271929780494288,1.32,0.1361274461314066,-18.269405659872675,-1.4925373134328401,False
