Canada,"16,166","15,751","14,007",468,452,399,0.88,0.88,0.89,66,31,5
United States,"633,385","603,457","597,503","2,001","1,893","1,859",3.80,3.48,3.33,"1,381",841,0
Total,"649,551","619,208","611,510","1,850","1,751","1,715",3.51,3.24,3.13,"1,447",871,5
Europe,,,,,,,,,,,,
Albania,185,161,138,62,53,46,1.44,1.22,1.19,8,0,1
Austria,"3,230","2,683","2,051",377,311,237,0.75,0.61,0.55,23,156,0
Belgium,"4,985","4,962","3,980",447,442,351,0.95,0.93,0.87,31,0,7
Bosnia-Herzegovina,233,225,192,60,58,50,1.30,1.24,1.23,11,0,0
Bulgaria,759,717,600,104,99,83,1.39,1.29,1.27,31,303,16
Croatia,800,746,674,179,167,151,1.39,1.31,1.38,17,0,3
Cyprus,460,424,355,398,362,298,1.91,1.82,1.83,12,50,1
Czech Republic,"2,154","2,026","1,776",203,191,167,1.03,0.99,0.97,22,0,3
Denmark,"4,553","4,679","3,450",819,840,618,1.36,1.37,1.19,17,54,0
Estonia,482,512,449,377,403,355,1.91,1.93,1.96,6,30,0
Finland,"3,812","3,654","2,989",702,670,546,1.42,1.34,1.30,22,354,3
France,"52,317","52,075","46,751",793,786,702,1.86,1.84,1.93,209,28,103
Germany,"44,172","43,101","36,686",544,532,454,1.18,1.11,1.09,179,32,0
Greece,"5,898","5,688","4,729",548,528,439,2.43,2.39,2.45,143,221,4
Hungary,"1,085","1,008",879,109,102,89,0.81,0.74,0.74,27,44,12
Iceland,38,39,34,117,118,104,0.25,0.23,0.21,0,0,0
Ireland,"1,202","1,192",993,252,247,203,0.50,0.48,0.44,9,3,0
Italy,"25,212","24,487","21,552",410,397,348,1.18,1.14,1.18,175,18,182
Latvia,213,296,266,105,147,134,0.69,0.93,0.96,5,8,0
Lithuania,362,439,474,123,151,164,0.78,0.91,1.14,16,7,11
Luxembourg,249,251,215,457,449,376,0.41,0.38,0.37,1,0,1
"Macedonia, North",137,251,108,66,120,51,1.27,2.21,1.07,8,5,0
Malta,60,60,56,145,145,135,0.60,0.57,0.61,2,0,0
Montenegro,66,79,68,101,122,106,1.50,1.74,1.72,2,0,10
"Netherlands",,,,616,632,525,1.20,1.21,1.19,36,,
Norway,,,,"1,423","1,316",1058,1.39,1.36,1.39,26,,
Poland,,,,232,263,267,1.70,1.86,2.14,99,,
Portugal,,,,257,239,201,1.23,1.12,1.10,33,,
Romania,,,,112,128,116,1.27,1.40,1.44,71,,
Serbia,,,,95,97,83,1.52,1.59,1.62,28,,
Slovakia,,,,183,191,170,1.02,1.04,1.07,16,,
Slovenia,,,,234,268,225,0.98,1.08,1.05,8,,
Spain,,,,309,265,223,1.05,0.90,0.88,122,,
Sweden,,,,673,648,537,1.12,1.10,1.09,30,,
Switzerland,,,,632,641,595,0.74,0.73,0.71,21,,
Turkey,,,,138,127,105,1.30,1.25,1.16,511,,
United Kingdom*,,,,915,964,878,2.25,2.22,2.05,155,,
China,"115,844","131,140","145,832",85,96,106,1.22,1.27,1.28,"2,333",510,660
Russia [a],,,,464,453,362,3.18,3.47,4.18,798,,
