"Canada","24,169","24,056","27,001","632","625","696","1.12","1.12","1.22","62","29","6"
"United States","838,814","919,765","967,962","2,487","2,708","2,831","3.23","3.32","3.32","1,316","797","0"
"Total","862,983","943,821","994,963","1,559","1,666","1,763","2.17","2.22","2.27","1,378","826","6"
"Europe","","","","","","","","","","","",""
"Albania","288","397","489","93","128","157","1.51","1.74","1.87","8","0","0"
"Austria","3,633","4,415","5,297","408","494","591","0.77","0.85","0.99","23","107","0"
"Belgium","6,815","7,390","8,463","575","620","707","1.17","1.17","1.28","24","6","0"
"Bosnia-Herzegovina","165","217","218","43","57","57","0.67","0.8","0.77","11","6","0"
"Bulgaria","1,337","1,334","2,349","195","195","346","1.48","1.31","2.17","37","3","0"
"Croatia","1,303","1,119","1,250","311","268","301","1.81","1.35","1.39","17","21","0"
"Cyprus","533","567","603","411","434","456","1.82","1.76","1.73","12","50","0"
"Czech Republic","3,817","5,037","6,560","357","465","605","1.26","1.47","1.91","27","0","0"
"Denmark","5,044","5,346","5,484","852","899","918","1.25","1.31","1.33","13","44","0"
"Estonia","812","1,236","1,705","670","1,028","1,428","2.11","2.99","3.96","7","41","0"
"Finland","5,748","7,018","6,892","1,026","1,250","1,225","2.05","2.37","2.25","24","233","3"
"France","54,258","59,601","64,033","794","873","937","1.94","1.95","2.02","202","39","95"
"Germany*","54,902","67,058","85,975","651","796","1,022","1.32","1.48","1.83","180","34","0"
"Greece","7,846","7,309","7,765","745","696","742","3.6","3.07","3.07","132","289","7"
"Hungary","4,827","4,423","5,667","498","447","575","2.72","2.08","2.48","32","20","0"
"Iceland","41","40","49","115","112","134","0.14","0.13","0.15","0","0","0"
"Ireland","1,167","1,270","1,340","221","245","256","0.21","0.23","0.24","7","2","0"
"Italy","31,029","32,547","35,231","508","533","578","1.47","1.41","1.48","162","15","179"
"Kosovo","108","133","164","61","68","83","1.15","1.28","1.47","3","0","0"
"Latvia","857","1,046","1,436","465","574","797","2.12","2.4","3.15","7","16","0"
"Lithuania","1,580","2,025","2,498","589","762","950","2.22","2.6","3.02","16","13","18"
"Luxembourg","443","587","691","681","888","1,030","0.54","0.68","0.76","1","0","1"
"Macedonia, North","228","274","356","107","128","167","1.66","1.85","2.25","8","5","8"
"Malta","87","80","93","188","171","199","0.45","0.36","0.38","2","0","0"
"Montenegro","70","134","101","116","222","168","1.12","1.8","1.24","3","3","4"
"Netherlands","15,184","16,662","23,609","873","942","1,328","1.45","1.44","1.94","34","6","7"
"Norway","7,420","7,179","9,787","1,336","1,311","1,776","1.25","1.48","1.94","25","40","0"
"Poland","12,965","23,195","28,003","340","593","723","1.88","2.86","3.25","164","38","14"
"Portugal","2,584","2,796","3,106","252","273","304","1.01","0.97","1.02","22","24","23"
"Romania","5,640","8,475","9,204","305","462","507","1.88","2.41","2.42","70","55","57"
"Serbia","1,218","1,484","1,464","181","222","220","1.92","1.97","1.77","28","50","4"
"Slovakia","2,002","2,657","2,848","369","477","512","1.73","2","2","13","0","0"
"Slovenia","880","1,016","1,160","419","484","553","1.47","1.47","1.58","6","1","0"
"Spain","14,966","19,291","19,435","317","409","411","1.03","1.19","1.12","122","14","81"
"Sweden","8,027","9,202","12,254","766","873","1,157","1.38","1.57","2.01","15","22","0"
"Switzerland","5,521","6,241","6,482","649","710","732","0.67","0.7","0.69","21","123","0"
"Turkiye","6,252","8,777","14,268","75","105","170","0.69","0.78","1.06","355","379","161"
"United Kingdom*","73,133","75,040","81,055","1,079","1,101","1,184","2.34","2.22","2.26","141","70","0"
"Total","342,727","392,618","457,385","464","535","632","1.45","1.57","1.74","1,972","1,767","661"
"Russia and Eurasia","","","","","","","","","","","",""
"Armenia","781","1,277","1,366","260","427","459","4","5.3","5.41","43","210","4"
"Azerbaijan","2,641","3,129","3,777","255","295","355","3.35","4.32","4.99","68","300","15"
"Belarus","761","996","1,186","81","104","125","1.04","1.39","1.62","49","290","110"
"Georgia","315","479","506","64","97","103","1.26","1.57","1.53","21","0","5"
"Kazakhstan","1,867","2,508","2,622","96","125","129","0.83","0.95","0.9","39","0","32"
"Kyrgyzstan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","11","0","10"
"Moldova","48","94","108","14","26","30","0.33","0.57","0.6","5","58","1"
"Russia [a]","74,742","74,806","120,317","526","529","854","3.29","3.72","5.51","1,134","1,500","569"
"Tajikistan","108","141","176","12","14","17","1.03","1.19","1.35","9","20","8"
"Turkmenistan*","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","37","0","20"
"Ukraine","4,099","23,403","28,414","94","672","797","2.55","13.12","15.43","730","0","260"
"Uzbekistan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","48","0","20"
"Total**","85,362","106,834","158,473","156","254","319","1.96","3.57","4.15","2,193","2,378","1,053"
"Asia","","","","","","","","","","","",""
"Afghanistan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","172","0","0"
"Australia","33,197","34,374","36,404","1,270","1,299","1,360","1.93","1.97","2.02","58","22","0"
"Bangladesh","4,302","3,647","3,409","26","22","20","0.93","0.81","0.76","174","0","64"
"Brunei","433","462","597","907","952","1,213","2.6","3.05","3.8","7","1","1"
"Cambodia*","1,023","1,223","1,301","61","72","76","2.57","2.82","2.76","124","0","67"
"China","218,970","222,891","234,977","154","157","166","1.23","1.26","1.29","2,035","510","500"
"Fiji","43","48","69","45","51","72","0.86","0.89","1.19","4","6","0"
"India","72,768","75,358","74,363","52","54","53","2.17","2.11","1.91","1,476","1,155","1,616"
"Indonesia","8,984","9,496","10,929","32","34","39","0.68","0.69","0.78","405","400","290"
"Japan","46,954","48,558","53,014","378","392","430","1.1","1.15","1.3","247","56","15"
"Korea, DPR of","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1,280","600","189"
"Korea, Republic of","42,287","43,754","43,876","816","842","842","2.35","2.38","2.35","500","3,100","14"
"Laos","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","29","0","100"
"Malaysia","3,668","3,891","4,337","108","114","125","0.9","0.97","0.99","113","52","23"
"Maldives","102","110","110","262","282","283","1.66","1.67","1.57","4","0","0"
"Mongolia","91","90","164","28","28","50","0.53","0.44","0.69","10","137","8"
"Myanmar","1,987","2,606","2,631","35","46","46","3.22","4.04","4.09","134","0","70"
"Nepal","422","421","444","14","14","14","1.03","1.03","1.02","97","0","15"
"New Zealand","3,014","3,034","3,151","596","594","610","1.24","1.22","1.25","9","3","0"
"Pakistan","9,768","7,910","8,400","40","32","33","2.61","2.34","2.24","660","0","291"
"Papua New Guinea","98","97","91","10","10","9","0.31","0.31","0.29","4","0","0"
"Philippines","7,058","6,185","6,732","62","53","57","1.75","1.41","1.43","146","131","31"
"Singapore","12,346","13,388","15,174","2,085","2,240","2,517","2.48","2.67","2.86","51","253","7"
"Sri Lanka","1,156","1,251","1,388","50","57","63","1.55","n.k.","n.k.","263","6","64"
"Taiwan","17,298","18,625","18,861","734","790","799","2.27","2.46","2.43","169","1,657","12"
"Thailand","5,702","5,599","5,728","82","80","82","1.15","1.09","1.08","361","200","94"
"Timor-Leste","44","55","46","31","37","31","1.38","2.32","2.33","2","0","0"
"Tonga","8","9","10","77","83","95","1.7","1.67","1.82","1","0","0"
"Vietnam*","5,805","7,483","7,834","56","71","74","1.42","1.73","1.67","450","5,000","40"
"Total **","497,530","510,564","534,037","308","323","352","1.6","1.7","1.76","8,983","13,287","3,508"
"Middle East and North Africa","","","","","","","","","","","",""
"Algeria","9,158","18,313","21,404","207","396","455","4.06","7.63","8.23","139","150","187"
"Bahrain","1,399","1,401","1,401","908","902","894","3","3.04","2.93","8","0","11"
"Egypt","5,211","3,582","2,793","48","33","25","1.1","0.91","0.73","439","479","397"
"Iran","8,021","8,326","8,042","92","95","91","2.13","2.23","1.85","610","350","40"
"Iraq","6,996","10,522","12,679","173","255","301","2.43","4.17","4.8","193","0","266"
"Israel","19,033","19,118","33,750","2,135","2,065","3,589","3.61","3.72","6.39","170","465","8"
