"","Defence spending (current USDm)",,,"Defence spending per capita (current USD)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"Myanmar","2,132","2,390","2,299","38","42","40","3.10","2.94","3.44","356","0","107"
"Nepal","398","435","408","13","14","13","1.17","1.28","1.19","97","0","15"
"New Zealand","2,673","3,287","3,273","584","667","656","1.27","1.57","1.32","10","3","0"
"Pakistan","10,175","9,332","10,393","48","40","44","3.70","3.57","3.61","652","0","291"
"Papua New Guinea","79","94","87","11","13","12","0.32","0.40","0.33","4","0","0"
"Philippines","4,684","5,269","5,651","44","48","51","1.25","1.47","1.48","145","131","12"
"Singapore","11,339","9,879","11,566","1,858","1,591","1,972","3.03","2.91","3.05","51","253","8"
"Sri Lanka","1,666","1,684","1,529","73","74","66","1.98","2.09","1.89","255","6","62"
"Taiwan","11,010","13,903","16,214","467","589","688","1.80","2.08","2.06","169","1,657","12"
"Thailand","7,315","6,839","7,273","106","99","105","1.34","1.36","1.33","361","200","94"
"Timor-Leste","31","42","39","23","30","28","1.87","2.66","2.41","2","0","0"
"Vietnam*","5,221","5,727","6,345","53","58","62","1.60","1.68","1.73","482","5,000","40"
"Total **","433,857","452,394","487,574","289","287","316","2.14","2.25","2.11","9,231","13,295","3,508"
"Middle East and North Africa",,,,,,,,,,,,
"Algeria","10,300","9,699","9,039","243","226","207","6.02","6.57","5.52","139","150","187"
"Bahrain","1,411","1,405","1,399","957","934","916","3.67","4.05","3.58","8","0","11"
"Egypt","3,353","4,106","4,824","33","39","45","1.54","1.49","1.55","439","479","397"
"Iran","17,189","16,549","25,002","205","195","291","2.96","1.98","2.31","610","350","40"
"Iraq","9,855","10,191","7,352","239","262","185","4.32","6.01","3.65","193","0","266"
"Israel","16,804","17,234","20,299","1,965","1,987","2,310","5.05","5.04","5.05","170","465","8"
"Jordan","1,691","1,719","1,801","158","159","165","4.75","4.90","5.07","101","65","15"
"Kuwait","7,820","6,823","9,635","2,645","2,279","3,178","5.74","6.44","7.28","18","24","7"
"Lebanon","1,885","575","579","322","105","110","3.80","3.29","3.50","60","0","20"
"Libya","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Mauritania","161","207","212","41","52","52","2.04","2.56","2.31","16","0","5"
"Morocco","4,817","5,955","6,349","139","167","177","4.03","5.20","5.04","196","150","50"
"Oman","7,530","7,483","6,431","2,113","2,059","1,741","9.86","11.81","7.98","43","0","4"
"Palestinian Territories","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","n.k."
"Qatar","6,399","6,466","6,258","2,659","2,645","2,523","3.64","4.45","3.70","17","0","5"
"Saudi Arabia","50,933","52,000","46,667","1,514","1,522","1,342","6.42","7.43","5.54","257","0","25"
"Syria","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","169","0","100"
"Tunisia","999","1,153","1,222","86","98","103","2.77","3.16","2.95","36","0","12"
"United Arab Emirates","19,329","19,826","19,159","1,964","1,984","1,944","4.63","5.52","4.67","63","0","0"
"Yemen","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","40","0","0"
"Total**","160,476","161,391","166,229","955","920","956","4.45","4.99","4.36","2,572","1,683","1,152"
"Latin America and the Caribbean",,,,,,,,,,,,
"Antigua and Barbuda","7","8","7","74","80","75","0.43","0.57","0.53","0","0","0"
"Argentina","3,281","2,904","2,572","73","64","56","0.73","0.75","0.57","72","0","31"
"Bahamas","92","86","95","275","254","270","0.70","0.87","0.89","2","0","0"
"Barbados","38","41","40","131","138","132","0.72","0.92","0.86","1","0","0"
"Belize","23","25","20","59","61","49","1.23","1.44","1.05","2","1","0"
"Bolivia","479","479","476","42","41","40","1.16","1.30","1.23","34","0","37"
"Brazil","27,133","22,234","21,752","129","105","102","1.44","1.54","1.32","367","1,340","395"
"Chile","4,416","4,049","4,219","245","223","230","1.58","1.60","1.27","69","19","45"
"Colombia","5,948","5,480","5,970","122","112","119","1.85","2.03","1.99","256","35","172"
"Costa Rica","440","457","434","87","90","84","0.70","0.75","0.71","0","0","10"
"Cuba","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","49","39","27"
"Dominican Republic","616","589","579","59","56","55","0.69","0.75","0.65","56","0","15"
"Ecuador","1,590","1,545","1,593","95","91","93","1.47","1.56","1.52","41","118","1"
"El Salvador","145","172","248","23","27","38","0.55","0.70","0.90","25","10","17"
"Guatemala","341","366","337","20","21","19","0.44","0.47","0.40","18","64","25"
"Guyana","67","66","71","90","88","91","1.30","1.20","0.97","3","1","0"
"Haiti","13","10","36","1","1","3","0.09","0.07","0.18","1","0","0"
"Honduras","348","345","347","37","37","37","1.39","1.45","1.32","15","60","8"
"Jamaica","262","238","209","93","85","74","1.66","1.71","1.41","6","3","0"
"Mexico","5,067","5,352","6,760","40","42","52","0.40","0.50","0.53","216","82","125"
"Nicaragua","79","79","77","13","13","12","0.62","0.63","0.58","12","0","0"
"Panama","805","753","830","209","193","211","1.21","1.42","1.38","0","0","28"
"Paraguay","284","278","274","40","39","38","0.75","0.78","0.74","14","165","15"
"Peru","2,238","2,132","1,868","71","67","58","0.97","1.04","0.83","81","188","77"
"Suriname","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","2","0","0"
"Trinidad and Tobago","906","954","773","747","789","633","3.90","4.42","3.58","5","1","0"
"Uruguay","423","535","525","125","158","154","0.68","0.95","0.87","21","0","1"
"Venezuela","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","123","8","220"
"Total**","55,044","49,176","50,113","116","115","109","1.07","1.18","1.05","1,488","2,132","1,248"
"Sub-Saharan Africa",,,,,,,,,,,,
"Angola","1,607","1,014","956","51","31","28","1.90","1.74","1.36","107","0","10"
"Benin","68","56","228","6","4","17","0.47","0.36","1.26","7","0","5"
"Botswana","535","560","522","234","242","222","3.22","3.72","2.96","9","0","0"
"Burkina Faso","358","388","464","18","19","22","2.24","2.23","2.33","11","0","0"
"Burundi","63","62","66","5","5","5","2.10","2.05","2.06","30","0","1"
"Cameroon","422","407","448","16","15","16","1.08","1.02","1.00","25","0","9"
"Cape Verde","11","12","12","19","20","21","0.54","0.68","0.64","1","0","0"
"Central African Rep","32","41","44","6","7","8","1.42","1.73","1.72","9","0","1"
"Chad","205","274","289","13","16","17","1.88","2.52","2.34","33","0","12"
"Congo","300","311","317","58","59","59","2.35","3.01","2.49","10","0","2"
"Côte d'Ivoire","538","608","644","20","22","23","0.92","0.99","0.94","27","0","n.k."
"Dem Republic of the Congo","337","346","290","4","3","3","0.67","0.71","0.53","134","0","0"
"Djibouti","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","10","0","3"
"Equatorial Guinea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1","0","0"
"Eritrea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","202","120","0"
"Ethiopia","516","429","375","5","4","3","0.56","0.44","0.40","138","0","0"
"Gabon","267","272","315","123","122","138","1.58","1.77","1.72","5","0","2"
"Gambia","14","15","16","7","7","7","0.80","0.79","0.79","4","0","0"
"Ghana","244","276","355","9","9","11","0.36","0.40","0.47","16","0","0"
"Guinea","195","211","234","16","17","18","1.45","1.37","1.40","10","0","3"
"Guinea-Bissau","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","4","0","0"
"Kenya","1,232","1,115","1,100","25","21","20","1.23","1.09","1.00","24","0","5"
"Lesotho","44","38","36","22","19","17","1.95","1.90","1.46","2","0","0"
"Liberia","14","12","20","3","2","4","0.45","0.40","0.58","2","0","0"
"Madagascar","77","107","101","3","4","4","0.55","0.82","0.72","14","0","8"
"Malawi","68","69","82","3","3","4","0.62","0.58","0.67","11","0","4"
"Mali","722","787","863","38","40","43","4.18","4.50","4.41","21","0","20"
"Mauritius","219","225","203","159","163","146","1.56","2.06","1.84","0","0","3"
"Mozambique","127","131","140","5","4","5","0.82","0.94","0.89","11","0","0"
"Namibia","407","378","357","158","144","133","3.24","3.53","2.92","10","0","6"
"Niger","172","211","205","8","9","9","1.33","1.53","1.31","5","0","5"
"Nigeria","1,827","2,505","2,543","9","12","12","0.41","0.58","0.53","143","0","80"
"Rwanda","112","128","150","9","10","12","1.08","1.24","1.44","33","0","2"
"Senegal","342","346","479","22","22","30","1.47","1.40","1.74","14","0","5"
"Seychelles","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","0"
"Sierra Leone","11","7","10","2","1","1","0.26","0.17","0.23","9","0","0"
"Somalia","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","14","0","0"
"South Africa","3,495","3,292","3,126","63","58","55","0.90","0.98","0.75","74","0","15"
"South Sudan","68","99","43","7","9","4","1.48","2.22","1.32","53","0","0"
"Sudan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","104","0","40"
"Tanzania","728","803","831","13","14","13","1.20","1.25","1.20","27","80","1"
"Togo","106","116","120","13","13","14","1.46","1.53","1.41","9","0","1"
"Uganda","562","960","1,199","13","22","27","1.48","2.52","2.77","45","10","1"
