North America,,,,,,,,,,,,
Canada,"18,627","19,125","18,723",523,533,518,1.13,1.12,1.08,67,36,5
United States,"598,722","631,161","684,568","1,833","1,917","2,063",3.07,3.07,3.19,"1,380",849,0
Total,,"650,286","703,291",,"1,781","1,911",2.92,2.92,3.04,"1,447",885,5
Europe,,,,,,,,,,,,
Albania,110,133,142,36,43,46,0.86,0.88,0.92,8,0,1
Austria,"3,159","3,391","3,248",361,386,368,0.76,0.74,0.73,23,144,0
Belgium,"4,513","4,845","4,832",393,419,415,0.91,0.91,0.93,26,0,5
Bosnia-Herzegovina,156,171,167,41,45,43,0.89,0.85,0.83,11,0,0
Bulgaria,677,959,"2,074",95,136,296,1.17,1.47,3.13,37,3,0
Croatia,687,966,"1,051",160,226,247,1.25,1.59,1.73,15,18,3
Cyprus,397,431,403,325,348,322,1.79,1.76,1.66,15,50,1
Czech Republic,"2,247","2,710","2,940",211,254,275,1.04,1.11,1.19,23,0,0
Denmark,"3,780","4,559","4,592",674,785,786,1.15,1.29,1.32,15,44,0
Estonia,544,645,691,434,518,558,2.06,2.12,2.22,7,28,0
Finland,"3,565","3,757","3,999",646,678,720,1.41,1.37,1.48,22,216,3
France,"48,704","53,160","52,268",726,789,773,1.88,1.91,1.93,204,39,101
Germany,"41,789","45,510","48,548",519,566,604,1.14,1.15,1.26,181,29,0
Greece,"4,731","4,857","4,835",439,451,450,2.32,2.23,2.26,143,222,4
Hungary,"1,469","1,724","1,993",149,175,203,1.05,1.07,1.17,28,20,12
Iceland,55,39,55,162,115,159,0.22,0.15,0.23,0,0,0
Ireland,"1,040","1,118","1,116",208,221,218,0.31,0.29,0.29,9,4,0
Italy,"26,666","28,701","27,133",429,461,435,1.37,1.38,1.36,166,18,176
Latvia,531,724,712,273,377,374,1.77,2.10,2.03,7,11,0
Lithuania,817,"1,057","1,065",289,378,385,1.74,2.00,1.98,21,7,16
Luxembourg,280,403,344,471,665,557,0.45,0.58,0.49,1,0,1
"Macedonia, North",114,125,152,54,59,71,1.04,0.98,1.20,8,5,8
Malta,64,70,84,155,156,185,0.50,0.48,0.56,2,0,0
Montenegro,75,79,74,117,129,121,1.57,1.45,1.37,2,0,10
Netherlands,"10,114","11,254","12,097",592,656,703,1.21,1.23,1.34,35,5,6
Norway,"6,196","6,756","6,723","1,165","1,258","1,240",1.56,1.56,1.61,23,40,0
Poland,"9,981","11,893","11,378",259,310,297,1.90,2.03,2.01,124,0,73
Portugal,"2,527","2,573","2,682",233,248,260,1.14,1.07,1.13,27,212,25
Romania,"3,643","4,359","4,964",169,203,232,1.73,1.82,2.04,70,53,57
Serbia,546,704,906,77,99,129,1.24,1.39,1.76,28,50,4
Slovakia,"1,118","1,300","1,867",205,239,343,1.17,1.22,1.75,16,0,0
Slovenia,474,594,630,241,283,300,0.98,1.10,1.16,7,2,0
Spain,"13,354","15,059","12,921",273,305,260,1.01,1.05,0.92,120,15,76
Sweden,"5,935","6,193","6,384",596,617,631,1.10,1.11,1.21,15,10,0
Switzerland,"4,786","4,811","5,369",581,580,643,0.70,0.68,0.75,21,135,0
Turkey,"7,885","8,380","8,103",98,103,99,0.92,1.09,1.09,355,379,157
United Kingdom*,"52,352","56,003","54,769",808,860,837,1.98,1.98,2.00,148,80,0
Total,"265,084","290,014","291,312",422,461,462,1.37,1.40,1.44,"1,962","1,836",736
Russia and Eurasia,,,,,,,,,,,,
Armenia,435,513,644,143,169,213,3.78,4.13,4.79,45,210,4
Azerbaijan,"1,542","1,709","1,787",155,170,176,3.73,3.64,3.79,67,300,15
Belarus,531,599,650,56,63,68,0.97,1.00,1.04,45,290,110
Georgia,307,321,311,62,65,63,2.28,2.20,1.96,21,0,5
Kazakhstan,"1,265","1,500","1,588",68,80,84,0.78,0.87,0.93,39,0,32
Kyrgyzstan,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,11,0,10
Moldova,31,38,42,9,11,12,0.45,0.45,0.36,5,58,1
Russia [a],"45,715","45,151","48,206",321,318,340,2.89,2.72,2.94,900,"2,000",554
Tajikistan,174,180,187,21,21,21,2.43,2.40,2.30,9,0,8
Turkmenistan*,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,37,0,5
Ukraine,"2,798","3,257","3,831",64,74,87,2.58,2.56,2.56,209,900,88
Uzbekistan,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,48,0,20
Total**,"52,797","53,270","57,247",186,187,200,2.52,2.41,2.56,"1,435","3,758",851
Asia,,,,,,,,,,,,
Afghanistan,"2,169","2,031","1,906",64,58,53,10.72,10.35,10.17,181,0,92
Australia,"24,446","26,311","25,466","1,052","1,121","1,074",1.76,1.85,1.85,57,21,0
Bangladesh,"2,930","2,531","3,551",19,16,22,1.12,0.88,1.12,163,0,64
Brunei,327,365,435,738,811,950,2.70,2.69,3.49,7,1,1
Cambodia*,791,964,"1,045",49,59,63,3.57,3.95,3.91,124,0,67
China,"154,353","170,504","181,135",111,122,130,1.28,1.28,1.28,"2,035",510,660
